name,referenceName,type,readOnly,isIdentity
Link Type,System.Links.LinkType,integer,true,
Iteration Path,System.IterationPath,treePath,true,
Iteration ID,System.IterationId,integer,false,
External Link Count,System.ExternalLinkCount,integer,true,
Iteration Level 7,System.IterationLevel7,string,false,
Iteration Level 6,System.IterationLevel6,string,false,
Iteration Level 5,System.IterationLevel5,string,false,
Iteration Level 4,System.IterationLevel4,string,false,
Iteration Level 3,System.IterationLevel3,string,false,
Iteration Level 2,System.IterationLevel2,string,false,
Iteration Level 1,System.IterationLevel1,string,false,
Area Level 7,System.AreaLevel7,string,false,
Area Level 6,System.AreaLevel6,string,false,
Area Level 5,System.AreaLevel5,string,false,
Area Level 4,System.AreaLevel4,string,false,
Area Level 3,System.AreaLevel3,string,false,
Area Level 2,System.AreaLevel2,string,false,
Area Level 1,System.AreaLevel1,string,false,
Team Project,System.TeamProject,string,false,
TF Server,System.TFServer,string,false,
InDeletedTreeFlag,System.InDeletedTreeFlag,integer,false,
InAdminOnlyTreeFlag,System.InAdminOnlyTreeFlag,integer,false,
Hyperlink Count,System.HyperLinkCount,integer,true,
Attached File Count,System.AttachedFileCount,integer,true,
ProjectID,System.ProjectId,integer,true,
Work Item Form,System.WorkItemForm,plainText,true,
Work Item FormID,System.WorkItemFormId,integer,true,
Node Name,System.NodeName,string,true,
Node Type,System.NodeType,string,true,
Area Path,System.AreaPath,treePath,true,
PersonID,System.PersonId,integer,false,
Revised Date,System.RevisedDate,dateTime,true,
Changed Date,System.ChangedDate,dateTime,true,
ID,System.Id,integer,true,
Area ID,System.AreaId,integer,false,
Authorized As,System.AuthorizedAs,string,true,
Title,System.Title,string,false,true
State,System.State,string,false,
Authorized Date,System.AuthorizedDate,dateTime,true,
Watermark,System.Watermark,integer,true,
Rev,System.Rev,integer,true,
Changed By,System.ChangedBy,string,false,
Reason,System.Reason,string,false,true
Assigned To,System.AssignedTo,string,false,
Work Item Type,System.WorkItemType,string,false,true
Created Date,System.CreatedDate,dateTime,true,
Created By,System.CreatedBy,string,false,
Related Links,System.RelatedLinks,string,false,true
Attached Files,System.AttachedFiles,string,false,
Linked Files,System.LinkedFiles,string,false,
Description,System.Description,html,false,
